symbol,margin,safety_margin,is_fno,created_at
NAUKRI,0,13,YES,2025-10-25T14:13:24.335Z
NESTLEIND,0,9,YES,2025-10-25T14:13:24.260Z
NMDC,0,20,YES,2025-10-25T14:13:24.336Z
NTPC,0,12,YES,2025-10-25T14:13:24.261Z
ONGC,0,16,YES,2025-10-25T14:13:24.263Z
PAGEIND,0,10,YES,2025-10-25T14:13:24.337Z
PEL,0,19,NO,2025-10-25T14:13:24.338Z
PETRONET,0,15,YES,2025-10-25T14:13:24.339Z
PIDILITIND,0,8,YES,2025-10-25T14:13:24.340Z
PNB,0,20,YES,2025-10-25T14:13:24.341Z
POLYCAB,0,20,YES,2025-10-25T14:13:24.343Z
POWERGRID,0,13,YES,2025-10-25T14:13:24.264Z
PVR,0,8,NO,2025-10-25T14:13:24.345Z
RBLBANK,0,25,YES,2025-10-25T14:13:24.346Z
RELIANCE,0,10,YES,2025-10-25T14:13:24.265Z
SAIL,0,25,YES,2025-10-25T14:13:24.347Z
SBILIFE,0,15,YES,2025-10-25T14:13:24.267Z
SBIN,0,11,YES,2025-10-25T14:13:24.268Z
SHREECEM,0,15,YES,2025-10-25T14:13:24.349Z
SIEMENS,0,15,YES,2025-10-25T14:13:24.350Z
SRF,0,15,YES,2025-10-25T14:13:24.351Z
STAR,0,20,NO,2025-10-25T14:13:24.352Z
SUNPHARMA,0,9,YES,2025-10-25T14:13:24.269Z
TATACHEM,0,20,NO,2025-10-25T14:13:24.353Z
TATACONSUM,0,10,YES,2025-10-25T14:13:24.270Z
TATAMOTORS,0,15,NO,2025-10-25T14:13:24.271Z
TATAPOWER,0,15,YES,2025-10-25T14:13:24.354Z
TATASTEEL,0,20,YES,2025-10-25T14:13:24.272Z
TCS,0,15,YES,2025-10-25T14:13:24.273Z
TECHM,0,20,YES,2025-10-25T14:13:24.275Z
TITAN,0,15,YES,2025-10-25T14:13:24.276Z
TORNTPHARM,0,10,YES,2025-10-25T14:13:24.355Z
TRENT,0,20,YES,2025-10-25T14:13:24.356Z
TVSMOTORS,0,8,NO,2025-10-25T14:13:24.357Z
UBL,0,12,NO,2025-10-25T14:13:24.358Z
ULTRACEMCO,0,12,YES,2025-10-25T14:13:24.278Z
UPL,0,20,YES,2025-10-25T14:13:24.279Z
VEDL,0,30,YES,2025-10-25T14:13:24.359Z
VOLTAS,0,30,YES,2025-10-25T14:13:24.360Z
WHIRLPOOL,0,20,NO,2025-10-25T14:13:24.361Z
WIPRO,0,20,YES,2025-10-25T14:13:24.280Z
YESBANK,0,20,YES,2025-10-25T14:13:24.362Z
ZEEL,0,35,NO,2025-10-25T14:13:24.281Z
ZYDUSLIFE,0,16,YES,2025-10-25T14:13:24.363Z
